"","GSM1545535_10_6_5_11","GSM1545536_9_6_5_11","GSM1545538_purep53","GSM1545539_JMS8.2","GSM1545540_JMS8.3","GSM1545541_JMS8.4","GSM1545542_JMS8.5","GSM1545544_JMS9.P7c","GSM1545545_JMS9.P8c"
"7915",2,2,13,6,8,7,7,2,0
"7916",17,40,87,78,68,51,121,20,10
"7917",5226,9111,8851,8468,21571,12556,8689,6402,3769
"7918",216,458,721,695,1028,559,651,305,184
"7919",0,1,0,0,0,0,0,0,0
"7920",1,0,0,2,1,3,0,0,1
"7921",0,0,0,0,0,0,0,0,0
"7922",0,1,0,0,0,0,0,0,0
"7923",0,0,0,2,3,1,0,0,0
"7924",0,0,0,0,0,0,0,0,0
"7925",658,1830,2124,1647,3459,1356,1698,886,495
"7926",314,480,395,395,857,486,299,240,182
"7927",22,17,24,28,24,50,42,7,8
"7928",692,782,1790,1633,1756,1250,1191,482,513
"7929",0,0,0,1,0,0,0,0,0
"7930",3,42,768,760,198,41,907,45,6
"7931",15,40,47,69,25,135,72,11,41
"7932",0,3,131,109,16,3,164,8,1
"7933",0,0,0,0,0,0,1,0,0
"7934",8226,3443,6880,7377,13602,16996,8932,2184,5540
"7935",4,11,28,25,21,34,23,3,6
"7936",1549,1254,2600,2529,2620,2733,3209,936,878
